Bangladesh medical journal,Bangladesh Med J
Modern midwife,Mod Midwife
Pacific viewpoint,Pac Viewp
HASL [reports]. U.S. Atomic Energy Commission,HASL Rep
"Journal of hospital supply, processing, and distribution",J Hosp Supply Process Distrib
Contemporary anesthesia practice,Contemp Anesth Pract
Physiological and biochemical zoology : PBZ,Physiol Biochem Zool
The South Dakota journal of medicine and pharmacy,SD J Med Pharm
Biomolecules \& therapeutics,Biomol Ther (Seoul)
"Intersezioni (Bologna, Italy : Periodical)",Intersezioni
Journal of the West Australian Nurses,J West Aust Nurses
Permian historical annual,Permian Hist Annu
Current topics in nutraceutical research,Curr Top Nutraceutical Res
Bulletin philologique et historique (jusqu'a 1610) du Comite des travaux historiques et scientifiques,Bull Philol Hist
Comprehensive psychiatry,Compr Psychiatry
Journalism \& communication monographs,Journal Commun Monogr
Journal of holistic nursing : official journal of the American Holistic Nurses' Association,J Holist Nurs
British journal of international studies,Br J Int Stud
The Journal of otolaryngology. Supplement,J Otolaryngol Suppl
Revista de fomento social,Rev Fom Soc
Clinical medicine reviews in therapeutics,Clin Med Rev Ther
Proceedings / IEEE International Symposium on Biomedical Imaging: from nano to macro. IEEE International Symposium on Biomedical Imaging,Proc IEEE Int Symp Biomed Imaging
Transplantation bulletin,Transplant Bull
Evolutionary bioinformatics online,Evol Bioinform Online
Le Medecin de reserve,Med Reserve (Paris)
Reports - American Universities Field Staff. American Universities Field Staff,Rep Am Univ Field Staff
Journal of child and family nursing,J Child Fam Nurs
Virginia journal of social policy \& the law,Va J Soc Policy Law
The Histochemical journal,Histochem J
Journal of women's health physical therapy,J Womens Health Phys Therap
Rassegna medica sarda,Rass Med Sarda
Intellect,Intellect
Rivista italiana di pediatria = The Italian journal of pediatrics,Riv Ital Pediatr
Acta obstetricia et gynecologica Scandinavica. Supplement,Acta Obstet Gynecol Scand Suppl
Frontiers in biology,Front Biol
Archivio internazionale di studi neurologici,Arch Internazionale Studi Neurol
No to hattatsu. Brain and development,No To Hattatsu
Socialist review,Social Rev
L' Evolution psychiatrique,Evol Psychiatr
World AIDS day features,World AIDS Day Features
Current trends in biotechnology and pharmacy,Curr Trends Biotechnol Pharm
The open women's health journal,Open Womens Health J
Nigerian journal of physiological sciences : official publication of the Physiological Society of Nigeria,Niger J Physiol Sci
Journal of clinical laboratory analysis,J Clin Lab Anal
"Bulletin. Srpska akademija nauka i umetnosti, Belgrad. Odeljenje medicinskih nauka",Bull Acad Serbe Sci Arts
The Korean journal of hematology,Korean J Hematol
"Annales des societes belges de medecine tropicale, de parasitologie, et de mycologie",Ann Soc Belges Med Trop Parasitol Mycol
Comparative medicine East and West,Comp Med East West
Watermark (Archivists and Librarians in the History of the Health Sciences),Watermark (Arch Libr Hist Health Sci)
European heart journal cardiovascular Imaging,Eur Heart J Cardiovasc Imaging
"Vital and health statistics. Series 3, Analytical studies",Vital Health Stat 3
Health management quarterly : HMQ,Health Manage Q
GM crops,GM Crops
mAbs,MAbs
Proceedings - United States Naval Institute. United States Naval Institute,Proc U S Nav Inst
"Test (Madrid, Spain)",Test (Madr)
Displays,Displays
Aggressive behavior,Aggress Behav
Advances in cell biology,Adv Cell Biol
[Minzoku eisei] Race hygiene,Minzoku Eisei
Jahrbuch der Coburger Landesstiftung. Coburger Landesstiftung,Jahrb Coburg Landesstift
The EMT journal,EMT J
The Journal of social studies,J Soc Stud
Psychodynamic counselling,Psychodyn Couns
Anti-cancer drug design,Anticancer Drug Des
Journal of psychology and Judaism,J Psychol Judaism
Acta crystallographica,Acta Crystallogr
"Cross currents (Ann Arbor, Mich.)",Cross Curr (Ann Arbor MI)
Archivos de investigacion medica,Arch Invest Med (Mex)
Library review. Great Britain. Forestry Commission,Libr Rev (Lond)
The international tinnitus journal,Int Tinnitus J
Clinical otolaryngology : official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology \& Cervico-Facial Surgery,Clin Otolaryngol
Pathophysiology : the official journal of the International Society for Pathophysiology / ISP,Pathophysiology
Accountability in research,Account Res
Juvenile \& family court journal,Juv Fam Court J
Revista espanola de medicina y cirugia de guerra,Rev Esp Med Cir Guerra
Journal of vocational behavior,J Vocat Behav
"Brain, behavior and evolution",Brain Behav Evol
Seventeenth-century French studies,Seventeenth Century Fr Stud
Revue francaise de sociologie,Rev Fr Sociol
Otolaryngologia polska. The Polish otolaryngology,Otolaryngol Pol
TEC bulletin (Online),TEC Bull (Online)
Residential treatment for children \& youth,Resid Treat Child Youth
A.M.A. archives of dermatology,AMA Arch Derm
Clinical autonomic research : official journal of the Clinical Autonomic Research Society,Clin Auton Res
Nation's business,Nations Bus
Quarterly journal of studies on alcohol,Q J Stud Alcohol
Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese,Hellenic J Cardiol
Current opinion in genetics \& development,Curr Opin Genet Dev
African studies,Afr Stud
Pediatria pratica,Pediatr Prat
Electroencephalography and clinical neurophysiology,Electroencephalogr Clin Neurophysiol
Best practice \& research. Clinical gastroenterology,Best Pract Res Clin Gastroenterol
Euthanasia news,Euthanasia News
Chemical science,Chem Sci
Journal of biological standardization,J Biol Stand
Meteoritics \& planetary science,Meteorit Planet Sci
Journal de la Societe des oceanistes,J Soc Ocean
Birth Psychology Bulletin,Birth Psychol Bull
Profilassi,Profilassi
Cytokine \& growth factor reviews,Cytokine Growth Factor Rev
Beitrage zur Orthopadie und Traumatologie,Beitr Orthop Traumatol
Saline systems,Saline Systems
L'echo medical du nord,Echo Med Nord
Pharmacological reviews,Pharmacol Rev
Maryland medical journal ,Md Med J
Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology,Indian J Gastroenterol
Anuario Brasileiro De Odontologia,Anu Bras Odontol
The Patna journal of medicine,Patna J Med
Mental hospitals,Ment Hosp
Revue des sciences medicales,Rev Sci Med
Hospital pharmacy,Hosp Pharm
"Endodoncia (Madrid, Spain)",Endodoncia
Journal of happiness studies,J Happiness Stud
Oxford Slavonic papers,Oxf Slav Pap
"Journal of rehabilitation R&D / Veterans Administration, Department of Medicine and Surgery, Rehabilitation R&D Service",J Rehabil R D
Croatica chemica acta. Arhiv za kemiju,Croat Chem Acta
Journal of comparative pathology,J Comp Pathol
"Heart disease (Hagerstown, Md.)",Heart Dis
Clinical medicine insights. Arthritis and musculoskeletal disorders,Clin Med Insights Arthritis Musculoskelet Disord
The Journal of medical humanities,J Med Humanit
Vigilando,Vigilando
Bollettino storico-bibliografico subalpino,Boll Stor Bibliogr Subalp
Journal of cyber therapy and rehabilitation,J Cyber Ther Rehabil
The Compendium on continuing education in general dentistry,Compend Contin Educ Gen Dent
Bulletin (Gandhigram Institute of Rural Health and Family Welfare Trust),Bull Gandhigram Inst Rural Health Fam Welf Trust
Pennsylvania archaeologist,Pa Archaeol
Journal of immune based therapies and vaccines,J Immune Based Ther Vaccines
"Thoraxchirurgie, vaskulare Chirurgie",Thoraxchir Vask Chir
"Fortpflanzung, Besamung, und Aufzucht der Haustiere",Fortpflanz Besamung Aufzucht Haustiere
Medicina e historia,Med Hist (Barc)
Journal of health \& population in developing countries,J Health Popul Dev Ctries
American journal of health-system pharmacy,Am J Health Syst Pharm
Paideuma,Paideuma (Wiesb)
Journal de la Societe de biologie,J Soc Biol
Contact point,Contact Point
Feminist studies,Fem Stud
The Indiana nurse,Indiana Nurse
Electronic journal of biotechnology,Electron J Biotechnol
"Chinese geographical science / Sponsored by Changchun Institute of Geography, Chinese Academy of Sciences",Chin Geogr Sci
Geological magazine,Geol Mag
Nebraska Symposium on Motivation. Nebraska Symposium on Motivation,Nebr Symp Motiv
Current psychiatry reports,Curr Psychiatry Rep
Nanr News,NANR News
The Journal of the Rutgers University Library,J Rutgers Univ Libr
"NADA (Salisbury, Zimbabwe)",NADA
American journal of hematology/oncology,Am J Hematol Oncol
Journal of biochemistry,J Biochem
The Journal of school health,J Sch Health
The New law journal,New Law J
Behavioral neuropsychiatry,Behav Neuropsychiatry
Seminars in immunopathology,Semin Immunopathol
Nederlands tijdschrift voor tandheelkunde,Ned Tijdschr Tandheelkd
Plastic and reconstructive surgery,Plast Reconstr Surg (1946)
The Johns Hopkins medical letter health after 50,Johns Hopkins Med Lett Health After 50
Arquivos brasileiros de psicologia,Arq Bras Psicol
Social work in health care,Soc Work Health Care
Zhongguo zhen jiu = Chinese acupuncture \& moxibustion,Zhongguo Zhen Jiu
Journal of scientific and industrial research,J Sci Ind Res (India)
The open nutraceuticals journal,Open Nutraceuticals J
Jahrbuch des Vereins fur Geschichte der Stadt Wien. Verein fur Geschichte der Stadt Wien,Jahrb Vereins Gesch Stadt Wien
NeuroRehabilitation,NeuroRehabilitation
The Ceylon medical journal,Ceylon Med J
DNA repair,DNA Repair (Amst)
Sairaanhoitaja. Sjukskoterskan,Sairaanhoitaja
New Zealand veterinary journal,N Z Vet J
Evolution,Evolution 
JSAC grapevine. Joint Strategy and Action Committee ,JSAC Grapevine
Ginecologia clinica,Ginecol Clin
Journal - American Health Care Association,J Am Health Care Assoc
Kroc Foundation series,Kroc Found Ser
The Columbia journal of world business,Columbia J World Bus
Bulletin de la Societe archeologique et historique du Limousin,Bull Soc Archeol Hist Limousin
Asian Pacific journal of cancer prevention ,Asian Pac J Cancer Prev
Travaux des Laboratoires de matiere medicale et de pharmacie galenique de la Faculte de pharmacie de Paris,Trav Lab Matiere Med Pharm Galenique Fac Pharm Paris
Archives of medical research,Arch Med Res
The open geriatric medicine journal,Open Geriatr Med J
"Auris, nasus, larynx",Auris Nasus Larynx
Annales de l'Institut Pasteur. Microbiologie,Ann Inst Pasteur Microbiol
Revista medica de Valparaiso,Rev Med Valparaiso
European journal of cancer care,Eur J Cancer Care (Engl)
American laundry digest,Am Laund Dig
Detroit in perspective,Detroit Perspect
Chemtracts,Chemtracts
Africa : notiziario dell'Associazione fra le imprese italiane in Africa,Africa (Roma)
"Vital and health statistics. Series 21, Data from the National Vital Statistics System",Vital Health Stat 21
"Evening sun (Baltimore, Md.)",Evening Sun
The American journal of family therapy,Am J Fam Ther
Majallat tibb al-asnan al-Suriyah,Majallat Tibb Alasnan Alsuriyah
Raumforschung und Raumordnung,Raumforsch Raumordn
Rhode Island history,R I Hist
Latin American population history newsletter,Lat Am Popul Hist News
Health and human rights,Health Hum Rights
Clinical excellence for nurse practitioners : the international journal of NPACE,Clin Excell Nurse Pract
Tuberkuloz ve toraks,Tuberk Toraks
Advances in orthopedics,Adv Orthop
Journal of Hispanic higher education,J Hispanic High Educ
Clinical anatomy,Clin Anat
Social work in public health,Soc Work Public Health
Physiology \& pharmacology for physicians,Physiol Pharmacol Physicians
Speculum,Speculum
Rutgers computer \& technology law journal,Rutgers Comput Technol Law J
Romanian journal of endocrinology / sponsore [sic] by the Academy of Medical Sciences,Rom J Endocrinol
The Sydney law review,Syd Law Rev
Nichidai igaku zasshi,Nichidai Igaku Zasshi
Journal of clinical microbiology,J Clin Microbiol
"Vital and health statistics. Series 5, Comparative international vital and health statistics reports",Vital Health Stat 5
Archives of STD/HIV research,Arch STD HIV Res
Journal of peptide science : an official publication of the European Peptide Society,J Pept Sci
Informationen zur Raumentwicklung,Inf Raumentwickl
Breast cancer ,Breast Cancer
Nutrients,Nutrients
Current trends in medicinal chemistry,Curr Trends Med Chem
Advances in applied mathematics,Adv Appl Math
IET nanobiotechnology / IET,IET Nanobiotechnol
Revue francaise d'endodontie ,Rev Fr Endod
Bulletin - Texas Nurses Association,Bull Tex Nurses Assoc
Business insurance,Bus Insur
Lutheran theological journal,Lutheran Theol J
Journal. Louisiana. State University and Agricultural and Mechanical College. School of Medicine,J La State Univ Agric Mech Coll
Collected works on cardio-pulmonary disease,Coll Works Cardiopulm Dis
Surgical and radiologic anatomy,Surg Radiol Anat
Harper's,Harpers (N Y N Y)
Autoimmunity reviews,Autoimmun Rev
Zeitschrift fur Kreislaufforschung,Z Kreislaufforsch
Yearbook of medical informatics,Yearb Med Inform
Journal of nanomaterials,J Nanomater
Journal of physical education,J Phys Educ
The Dental magazine and oral topics,Dent Mag Oral Top
NATNews,NATNEWS
Kyklos : international review for social sciences,Kyklos (Oxford)
Cahiers d'anesthesiologie,Cah Anesthesiol
Pulmonary medicine,Pulm Med
Indian journal of psychiatry,Indian J Psychiatry
"International journal of clinical pharmacology, therapy and toxicology",Int J Clin Pharmacol
Acta histochemica. Supplementband,Acta Histochem Suppl
Medika; informativni casopis farmaceutiskih poduzeca NRH,Medika (Zagreb)
International biodeterioration \& biodegradation,Int Biodeterior Biodegradation
"Profile of medical practice / Center for Health Services Research and Development, American Medical Association",Profile Med Pract
Man in India,Man India
Sjukskoterskan / Svensk sjukskoterskeforening,Sjukskoterskan
Eating behaviors,Eat Behav
Sociology of religion,Sociol Relig
The open biomarkers journal,Open Biomark J
Revista medica de Chile,Rev Med Chil
Clinics in endocrinology and metabolism,Clin Endocrinol Metab
Proceedings of the European Dialysis and Transplant Association - European Renal Association. European Dialysis and Transplant Association - European Renal Association. Congress,Proc Eur Dial Transplant Assoc Eur Ren Assoc
Philologus,Philologus
Archivos del Colegio Medico de El Salvador,Arch Col Med El Salv
Management world,Manage World
Advances in comparative physiology and biochemistry,Adv Comp Physiol Biochem
Journal of environmental psychology,J Environ Psychol
Combinatorial chemistry \& high throughput screening,Comb Chem High Throughput Screen
Lymphokine research,Lymphokine Res
Journal of prosthodontics,J Prosthodont
Tropical gastroenterology ,Trop Gastroenterol
The British journal of nutrition,Br J Nutr
Journal of magnetism and magnetic materials,J Magn Magn Mater
Fortschritte der Chemie organischer Naturstoffe. Progress in the chemistry of organic natural products. Progres dans la chimie des substances organiques naturelles,Fortschr Chem Org Naturst
Clinical diabetes : a publication of the American Diabetes Association,Clin Diabetes
Zhonghua er bi yan hou ke za zhi,Zhonghua Er Bi Yan Hou Ke Za Zhi
Publicacoes medicas,Publicacoes Med
Philippine quarterly of culture and society,Philipp Q Cult Soc
A.M.A. archives of neurology,AMA Arch Neurol
Anales de medicina,An Med (Barc)
The Devon historian,Devon Hist
Neuropsihijatrija,Neuropsihijatrija
International transactions in operational research ,Int Trans Oper Res
The British journal of medical psychology,Br J Med Psychol
International journal of chemistry,Int J Chem
Annual review of environment and resources,Annu Rev Environ Resour
The Florida Bar journal,FLA Bar J
Revue geographique des Pyrenees et du Sud-Ouest,Rev Geogr Pyren Sud Ouest
Les Cahiers de l'Iroise,Cah Iroise
"Explore (New York, N.Y.)",Explore (NY)
"Compendium (Newtown, Pa.). Supplement",Compend Suppl
The A-V,AV (Phila)
The Journal of communication,J Commun
Chudoku kenkyu : Chudoku Kenkyukai jun kikanshi = The Japanese journal of toxicology,Chudoku Kenkyu
Rassegna trimestrale di odontoiatria,Rass Trimest Odontoiatr
Revista brasileira de anestesiologia,Rev Bras Anestesiol
The Journal of clinical pediatric dentistry,J Clin Pediatr Dent
Tufts health science review,Tufts Health Sci Rev
Advances in experimental social psychology,Adv Exp Soc Psychol
The South African journal of African affairs,S Afr J Afr Aff
Ce Focus,CE Focus
Frontiers of hormone research,Front Horm Res
Aktuelle Urologie,Aktuelle Urol
ADA news,ADA News
La Provence medicale,Prov Med
Materia medica greca,Mater Med Greca
The Journal of family practice,J Fam Pract
Theoria,Theoria
Liguorian,Liguorian
Medical \& biological illustration,Med Biol Illus
Indiana code : comprising all laws of a general and permanent nature including statutes enacted through the 1982 regular session of the Indiana General Assembly / edited and published under the direction of the Indiana Legislative Counc...,Indiana Code Indiana
American journal of optometry and physiological optics,Am J Optom Physiol Opt
Membranes,Membranes
Dalhousie law journal,Dalhous Law J
Bulletin (American Association for the History of Nursing),Bull Am Assoc Hist Nurs
Research and clinical studies in headache,Res Clin Stud Headache
Aggiornamenti in ostetricia e ginecologia,Aggiorn Ostet Ginecol
Science Of Biology Journal,Sci Bio J
The Journal of the Canadian Chiropractic Association,J Can Chiropr Assoc
Bulletin of the Psychonomic Society,Bull Psychon Soc
Caribbean quarterly,Caribb Q
Acta iberica radiologica-cancerologica,Acta Iber Radiol Cancerol
Le Corps medical,Corps Med (Ettelbruck)
Acta Scientiarum Polonorum. Technologia Alimentaria,Acta Sci Pol Technol Aliment
Mediaevalia philosophica polonorum,Mediaev Philos Pol
Bulletin. Societe scientifique d'hygiene alimentaire et d'alimentation rationnelle,Bull Soc Sci Hyg Aliment Aliment Ration Homme
Fortschritte der Hals-Nasen-Ohrenheilkunde,Fortschr Hals Nasen Ohrenheilkd
Normale und pathologische Anatomie,Norm Pathol Anat (Stuttg)
Mondo odontostomatologico,Mondo Odontostomatol
AB bookman's weekly : for the specialist book world,AB Bookm Wkly
Review of general psychology,Rev Gen Psychol
De Stethoscoop,Stethosc
"Micron (Oxford, England : 1993)",Micron
Revista juridica de la Universidad de Puerto Rico,Rev Jurid Univ P R
New Zealand population newsletter / New Zealand Demographic Society (Inc.),N Z Popul Newsl
The Journal of applied behavioral science,J Appl Behav Sci
Research in developmental disabilities,Res Dev Disabil
Health care week,Health Care Week
Sociological studies of children and youth,Sociol Stud Child Youth
Physical biology,Phys Biol
"Nan nu : men, women, and gender in early and Imperial China",Nan Nu
Psychological issues,Psychol Issues
"Experimentelle Medizin, Pathologie und Klinik",Exp Med Pathol Klin
Science \& medicine,Sci Med (Phila)
Journal of the American Society for Horticultural Science. American Society for Horticultural Science,J Am Soc Hortic Sci
L'Actualite economique,Actual Econ
Savasta erbaslar,Savasta Erbaslar
The Kumamoto medical journal,Kumamoto Med J
Handchirurgie,Handchirurgie
Revue d'Auvergne,Rev Auvergne
Herpetological review,Herpetol Rev
Pigment cell \& melanoma research,Pigment Cell Melanoma Res
Reconstruction surgery and traumatology,Reconstr Surg Traumatol
Journal of the American Pharmacists Association : JAPhA,J Am Pharm Assoc (2003)
The British journal of dermatology and syphilis,Br J Dermatol Syph
Population index,Popul Index
Hepatitis monthly,Hepat Mon
Momentum,Momentum
Meccanica,Meccanica
La Medecine infantile,Med Infant (Paris)
Advertising age,Advert Age
The Indian journal of tuberculosis,Indian J Tuberc
QA review : quality assurance news and views,QA Rev
AmFAR report / American Foundation for AIDS Research,AMFAR Rep
Journal of public health medicine,J Public Health Med
Health and technology,Health Technol (Berl)
The Volta review,Volta Rev
Political science quarterly,Polit Sci Q
Annals of tuberculosis,Ann Tuberc
"Multiple sclerosis (Houndmills, Basingstoke, England)",Mult Scler
Biofeedback and self-regulation,Biofeedback Self Regul
Journal of immigrant health,J Immigr Health
BMC cardiovascular disorders,BMC Cardiovasc Disord
Clinical cornerstone,Clin Cornerstone
California and western medicine,Cal West Med
Nihon Ika Daigaku zasshi,Nihon Ika Daigaku Zasshi
BioProcess international,Bioprocess Int
Nephrology nurse,Nephrol Nurse
The Maryland nurse,Md Nurse
The Bulletin of the Michigan Dental Hygienists' Association,Bull Mich Dent Hyg Assoc
Post-Soviet geography and economics,Post Sov Geogr Econ
Newsletter. American Academy of Pediatrics,Newsl Am Acad Pediatr
Pure culture study of bacteria,Pure Cult Study Bact
Saarlandisches Aerzteblatt,Saarl Arztebl
The Annals of pharmacotherapy,Ann Pharmacother
Medisch contact,Med Contact (Bussum)
Historicky casopis,Hist Casopis
Medical insight,Med Insight
Classical antiquity,Class Antiq
Pathologist,Pathologist
Trodent,Trodent
Nihon Chokucho Komonbyo Gakkai zasshi,Nihon Chokucho Komonbyo
Epidemiology and psychiatric sciences,Epidemiol Psychiatr Sci
Journal of the National Cancer Institute. Monographs,J Natl Cancer Inst Monogr
Jornal do medico,J Med (Oporto)
Journal of comparative family studies,J Comp Fam Stud
Tijdschrift voor sociale gezondheidszorg : TSG : 14-daags blad van de Algemene Nederlandse Vereniging voor Sociale Gezondheidszorg,Tijdschr Soc Gezondheidsz
Mikroskopie,Mikroskopie
Deutsche Rentenversicherung,Dtsch Rentenversicher
Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,Dig Liver Dis
Tanzania health research bulletin,Tanzan Health Res Bull
Nicaragua Odontologica,Nicar Odontol
Journal of behavioral and neuroscience research,J Behav Neurosci Res
Personnel,Personnel
IEEE intelligent systems,IEEE Intell Syst
The Ohio journal of science,Ohio J Sci
Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy,Drug Resist Updat
Proceedings of the Royal College of Physicians of Edinburgh,Proc R Coll Physicians Edinb
Lymphatic research and biology,Lymphat Res Biol
Medical claims management,Med Claims Manag
Analytical and quantitative cytology,Anal Quant Cytol
Journal of risk and uncertainty,J Risk Uncertain
Archivos de histologia normal y patologica,Arch Histol Norm Patol
The Journal of antibiotics,J Antibiot (Tokyo)
Etudes inuit. Inuit studies,Etud Inuit
Recruit \& retain : a monthly publication for professionals concerned with nurse recruitment and retention,Recruit Retain
Nephron. Experimental nephrology,Nephron Exp Nephrol
"PM \& R : the journal of injury, function, and rehabilitation",PM R
Surgical neurology,Surg Neurol
Isotopes in environmental and health studies,Isotopes Environ Health Stud
Tort \& insurance law journal,Tort Insur Law J
Canadian journal of African studies,Can J Afr Stud
La Clinica ginecologica,Clin Ginecol
Pediatrik cerrahi dergisi,Pediatr Cerrahi Derg
European urology,Eur Urol
"Surgical laparoscopy, endoscopy \& percutaneous techniques",Surg Laparosc Endosc Percutan Tech
Acta veterinaria Scandinavica,Acta Vet Scand
Pennsylvania dental journal,Pa Dent J (Harrisb)
Bulletin of the 8th District Dental Society,Bull Eighth Dist Dent Soc
AADE editors' journal,AADE Ed J
The South African journal of clinical nutrition : SAJCN : the official journal of the South African Society of Parenteral and Enteral Nutrition and the Association for Dietetics in South Africa,South Afr J Clin Nutr
Self,Self
Journal of pharmaceutical marketing \& management,J Pharm Mark Manage
Mitteilungen aus dem Gebiete der Lebensmittel-untersuchung un Hygiene = Travaux de chimie alimentaire et d'hygiene,Mitt Geb Lebensmittelunters Hyg
The Review of economic studies,Rev Econ Stud
Refractive \& corneal surgery,Refract Corneal Surg
International journal of engineering science,Int J Eng Sci
Antarctic science / Blackwell Scientific Publications,Antarct Sci
BMC chemical biology,BMC Chem Biol
"Business and economic review (Columbia, S.C.)",Bus Econ Rev
"Quality assurance (San Diego, Calif.)",Qual Assur
Frontline gastroenterology,Frontline Gastroenterol
The Army lawyer,Army Lawyer
Acta. Toimituksia. ser. B. Suomalainen laakariseura Duodecim,Acta Suom laak Duodecim
Healthcare foodservice magazine : the international trade publication for the healthcare foodservice industry,Healthc Foodserv Mag
Aggiornamenti clinicoterapeutici,Aggiorn Clinico Ter
Missouri medicine,Mo Med
Bulletin of the history of medicine,Bull Hist Med
Etudes limousines,Etud Limousines
Revista de medicina y ciencias afines,Rev Med Cienc Afines
Theorie und Praxis der Korperkultur,Theor Prax Korperkult
CEPAL review,CEPAL Rev
Note e riviste di psichiatria,Note Riv Psichiatr
Sykepleien,Sykepleien
Seminars in dialysis,Semin Dial
The Star,Star
Computers in nursing,Comput Nurs
Journal of clinical \& laboratory immunology,J Clin Lab Immunol
Zhonghua fang she xian yi xue za zhi = Chinese journal of radiology,Zhonghua Fang She Xian Yi Xue Za Zhi
Somatosensory research,Somatosens Res
"Boletin de psicologia / Republica de Cuba, Ministerio de Salud Publica, Hospital Psiquiatrico de la Habana",Bol Psicol
Archivo hispalense,Arch Hisp
"Vietnamese studies (Hanoi, Vietnam : 1966)",Vietnam Stud
PIACT papers / Program for the Introduction and Adaptation of Contraceptive Technology,PIACT Pap
Asia Pacific journal of clinical nutrition,Asia Pac J Clin Nutr
Annales de physique,Ann Phys (Paris)
Archiv fur die gesamte Virusforschung,Arch Gesamte Virusforsch
Physiologia Bohemoslovaca,Physiol Bohemoslov
Spaceflight,Spaceflight (Lond)
"Brain, behavior, and immunity",Brain Behav Immun
Consensus development conference summaries / National Institutes of Health,Consens Dev Conf Summ Natl Inst Health
UCLA [reports]. U.S. Atomic Energy Commission,UCLA Rep
European neurological review,Eur Neurol Rev
Lotta contro la tubercolosi,Lotta Tuberc
Michigan hospitals,Mich Hosp
Wiener tierarztliche Monatsschrift,Wien Tierarztl Monatsschr
Educacion medica y salud,Educ Med Salud
Soviet education,Sov Educ
Diabete \& metabolisme,Diabete Metab
Journal of allergy,J Allergy (Cairo)
"Choice (Chicago, Ill.)",Choice (Middletown)
The Society of Malawi journal. Society of Malawi (Historical and Scientific),Soc Malawi J
Godisnjak Vojnomedicinske akademije = Annual of the Military Medical Academy,God Vojnomed Akad
Vestnik Akademii meditsinskikh nauk SSSR,Vestn Akad Med Nauk SSSR
The American journal of international law,Am J Int Law
Natural language \& linguistic theory,Nat Lang Linguist Theory
Annals of neurology,Ann Neurol
Health law vigil,Health Law Vigil
Revue medicale de Bruxelles,Rev Med Brux
La Clinica veterinaria,Clin Vet (Milano)
Journal of geographical systems,J Geogr Syst
Zeitschrift fur Orthopadie und ihre Grenzgebiete,Z Orthop Ihre Grenzgeb
Journal. Boston Society of Medical Sciences,J Boston Soc Med Sci
Growth and change,Growth Change
Proceedings / Pacific Conference on Computer Graphics and Applications. Pacific Conference on Computer Graphics and Applications,Proc Pac Conf Comput Graph Appl
"Trees (Berlin, Germany : West)",Trees (Berl West)
Africa report,Afr Rep
Ceskoslovenska rentgenologie,Cesk Rentgenol
Revista panamericana de salud publica = Pan American journal of public health,Rev Panam Salud Publica
The Clinical investigator,Clin Investig
Arquivos de medicina : revista de ciencia e arte medicas,Arq Med
Nurse practitioner forum,Nurse Pract Forum
Seminars in pediatric neurology,Semin Pediatr Neurol
"Hematology (Amsterdam, Netherlands)",Hematology
"Washington post (Washington, D.C. : 1974)",Washington Post
L'Infirmiere francaise,Infirm Fr
"Schriftenreihe Zentralblatt fur Arbeitsmedizin, Arbeitsschutz und Prophylaxe",Schriftenr Zentralbl Arbeitsmed Arbeitsschutz Prophyl
Revista. Centro de Estudos Demograficos (Portugal),Rev Cent Estud Demograficos
Cardiovascular journal of South Africa : official journal for Southern Africa Cardiac Society [and] South African Society of Cardiac Practitioners,Cardiovasc J S Afr
Voenno-meditsinskii zhurnal,Voen Med Zh
Kwartalnik historii nauki i techniki : Kwartal'nyi zhurnal istorii nauki i tekhniki -,Kwart Hist Nauki Tech
International journal of mass spectrometry,Int J Mass Spectrom
Soins. Chirurgie generale et specialisee,Soins Chir Gen Spec
Tidning. Sveriges Tandlakarforbund,Sver Tandlakarforb Tidn
Revista interamericana de planificacion,Rev Interam Planif
Drug-nutrient interactions,Drug Nutr Interact
Acupuncture in medicine : journal of the British Medical Acupuncture Society,Acupunct Med
New biotechnology,N Biotechnol
Annales de la Societe belge de medecine tropicale,Ann Soc Belg Med Trop (1920)
Sino-Western cultural relations journal = Zhong Xi wen hua jiao liu shi za zhi,Sino West Cult Relat J
Invertebrate survival journal,Invertebrate Surviv J
Concepts in immunopathology,Concepts Immunopathol
Annales de dermatologie et de venereologie,Ann Dermatol Venereol
Veterinary parasitology,Vet Parasitol
Medical \& biological engineering \& computing,Med Biol Eng Comput
Scandinavian studies : publication of the Society for the Advancement of Scandinavian Study,Scand Stud
Mens en onderneming,Mens Ondernem
World heart journal,World Heart J
Yearbook (Conference of Latin Americanist Geographers),Yearb Conf Lat Am Geogr
IEEE Symposium on Computational Intelligence and Data Mining IEEE Symposium on Computational Intelligence and Data Mining,IEEE Symp Comput Intell Data Min
American journal of science,Am J Sci
Nihon Kyobu Shikkan Gakkai zasshi,Nihon Kyobu Shikkan Gakkai Zasshi
Condorcet studies,Condorcet Stud
Salud reproductiva y sociedad : organo informativo del Programa Salud Reproductiva y Sociedad de El Colegio de Mexico,Salud Reprod Soc
Health policy and planning,Health Policy Plan
Biopolymers,Biopolymers
Applied engineering in agriculture,Appl Eng Agric
Veterinary therapeutics : research in applied veterinary medicine,Vet Ther
Pulmonary circulation,Pulm Circ
Annales immunologiae Hungaricae,Ann Immunol Hung
Progress in brain research,Prog Brain Res
Bioscience hypotheses,Biosci Hypotheses
